SLURM_CPUS_PER_TASK=
SLURM_TRES_PER_TASK=
# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                      16.74
2                      33.79
4                      67.58
8                     136.75
16                    274.60
32                    539.98
64                   1093.31
128                  1396.39
256                  2798.99
512                  5052.70
1024                 8820.03
2048                12254.79
4096                16449.06
8192                23775.66
16384               11264.33
32768               12832.09
65536               18059.81
131072              21300.64
262144              17383.12
524288              14223.93
1048576             14330.61
2097152             14533.43
4194304             14543.46
