SLURM_CPUS_PER_TASK=
SLURM_TRES_PER_TASK=
# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.90
2                       7.85
4                      15.76
8                      31.46
16                     62.88
32                    124.65
64                    237.06
128                   472.41
256                   888.21
512                  1737.01
1024                 2652.45
2048                 4927.75
4096                 7066.59
8192                 9624.04
16384               10017.19
32768               11811.26
65536               12073.93
131072              12205.12
262144              12273.74
524288              12310.11
1048576             12327.40
2097152             12336.07
4194304             12340.90
