SLURM_CPUS_PER_TASK=
SLURM_TRES_PER_TASK=
# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                      16.76
2                      33.86
4                      67.89
8                     137.09
16                    275.07
32                    541.73
64                   1090.84
128                  1445.68
256                  2854.40
512                  5319.98
1024                 9701.68
2048                13039.08
4096                17006.82
8192                23732.05
16384               11323.01
32768               13093.86
65536               17831.77
131072              20293.28
262144              15782.97
524288              14197.82
1048576             14339.18
2097152             14446.54
4194304             14476.05
