SLURM_CPUS_PER_TASK=
SLURM_TRES_PER_TASK=
# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                      14.86
2                      33.51
4                      65.42
8                     135.67
16                    272.32
32                    536.84
64                   1084.14
128                  1442.71
256                  2750.05
512                  5367.13
1024                 9238.10
2048                13524.43
4096                17941.55
8192                25433.08
16384               11110.32
32768               12914.52
65536               17699.86
131072              19199.30
262144              16042.80
524288              14362.35
1048576             14235.80
2097152             14306.81
4194304             14401.63
