SLURM_CPUS_PER_TASK=
SLURM_TRES_PER_TASK=
# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.14
2                       0.14
4                       0.14
8                       0.14
16                      0.14
32                      0.14
64                      0.14
128                     0.20
256                     0.20
512                     0.21
1024                    0.27
2048                    0.31
4096                    0.41
8192                    0.58
16384                   1.00
32768                   1.65
65536                   2.88
131072                  5.24
262144                 17.40
524288                 36.06
1048576                70.52
2097152               141.62
4194304               281.94
