SLURM_CPUS_PER_TASK=
SLURM_TRES_PER_TASK=
# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       1.17
2                       1.17
4                       1.17
8                       1.17
16                      1.17
32                      1.27
64                      1.41
128                     1.43
256                     1.92
512                     2.01
1024                    2.47
2048                    2.49
4096                    3.13
8192                    3.92
16384                   5.25
32768                   7.46
65536                  10.84
131072                 17.62
262144                 26.64
524288                 47.94
1048576                90.92
2097152               175.97
4194304               345.85
