SLURM_CPUS_PER_TASK=
SLURM_TRES_PER_TASK=
# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.14
2                       0.14
4                       0.14
8                       0.14
16                      0.14
32                      0.15
64                      0.15
128                     0.20
256                     0.21
512                     0.22
1024                    0.28
2048                    0.32
4096                    0.42
8192                    0.58
16384                   1.00
32768                   1.66
65536                   2.94
131072                  5.36
262144                 17.04
524288                 36.43
1048576                70.43
2097152               141.35
4194304               285.53
