SLURM_CPUS_PER_TASK=
SLURM_TRES_PER_TASK=
# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.14
2                       0.14
4                       0.14
8                       0.15
16                      0.14
32                      0.15
64                      0.14
128                     0.20
256                     0.20
512                     0.22
1024                    0.27
2048                    0.31
4096                    0.42
8192                    0.58
16384                   1.00
32768                   1.61
65536                   2.84
131072                  5.15
262144                 17.74
524288                 37.08
1048576                71.13
2097152               143.50
4194304               290.49
