# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	9.134821e-03	2.265984e-02	7.811337e-04	9.525388e-03	-8.744254e-03
1             	5.631041e-01	1.329253e+00	-3.529740e-02	5.454554e-01	-5.807528e-01
2             	6.507833e-01	1.528575e+00	-4.804876e-02	6.267590e-01	-6.748077e-01
3             	5.719449e-01	1.338590e+00	-3.460986e-02	5.546400e-01	-5.892499e-01
4             	4.649377e-01	1.090600e+00	-2.485232e-02	4.525116e-01	-4.773639e-01
5             	3.749408e-01	8.853237e-01	-1.674721e-02	3.665672e-01	-3.833144e-01
6             	3.072157e-01	7.317823e-01	-4.814386e-03	3.048085e-01	-3.096228e-01
7             	2.595780e-01	6.238052e-01	5.212218e-03	2.621841e-01	-2.569718e-01
8             	2.276136e-01	5.527582e-01	1.055657e-02	2.328919e-01	-2.223354e-01
9             	2.071861e-01	5.079976e-01	1.311860e-02	2.137454e-01	-2.006268e-01
10            	1.937662e-01	4.797034e-01	1.577809e-02	2.016552e-01	-1.858772e-01
11            	1.851266e-01	4.613172e-01	1.955533e-02	1.949043e-01	-1.753489e-01
12            	1.800522e-01	4.495832e-01	2.515850e-02	1.926315e-01	-1.674730e-01
13            	1.774693e-01	4.421748e-01	3.105125e-02	1.929949e-01	-1.619437e-01
14            	1.770121e-01	4.383102e-01	3.684182e-02	1.954330e-01	-1.585912e-01
15            	1.774016e-01	4.357408e-01	4.250468e-02	1.986540e-01	-1.561493e-01
16            	1.777335e-01	4.331035e-01	4.747310e-02	2.014701e-01	-1.539970e-01
17            	1.780454e-01	4.311723e-01	5.128717e-02	2.036890e-01	-1.524018e-01
18            	1.783585e-01	4.301163e-01	5.343249e-02	2.050748e-01	-1.516423e-01
19            	1.784795e-01	4.289514e-01	5.398334e-02	2.054712e-01	-1.514878e-01
20            	1.784184e-01	4.275870e-01	5.331783e-02	2.050773e-01	-1.517594e-01
21            	1.783724e-01	4.267422e-01	5.214265e-02	2.044437e-01	-1.523011e-01
22            	1.777949e-01	4.259527e-01	5.142290e-02	2.035063e-01	-1.520834e-01
23            	1.764796e-01	4.247952e-01	5.155056e-02	2.022549e-01	-1.507043e-01
24            	1.744906e-01	4.230967e-01	5.241790e-02	2.006996e-01	-1.482817e-01
25            	1.720939e-01	4.212792e-01	5.380648e-02	1.989971e-01	-1.451907e-01
26            	1.699057e-01	4.198158e-01	5.516116e-02	1.974863e-01	-1.423251e-01
27            	1.682648e-01	4.190200e-01	5.625953e-02	1.963946e-01	-1.401351e-01
