# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	5.093313e-03	1.206207e-02	-1.292170e-04	5.028705e-03	-5.157922e-03
1             	1.274996e+01	3.163522e+01	-5.621759e-01	1.246887e+01	-1.303105e+01
2             	1.364502e+01	3.388945e+01	-9.162365e-01	1.318690e+01	-1.410314e+01
3             	6.467040e+00	2.494297e+01	8.501208e-01	6.892100e+00	-6.041979e+00
4             	-6.207925e+00	2.645447e+00	1.471301e+00	-5.472274e+00	6.943575e+00
5             	-1.855520e+01	-2.421560e+01	1.752459e+00	-1.767897e+01	1.943143e+01
6             	-2.484223e+01	-4.411579e+01	-6.756399e-01	-2.518005e+01	2.450441e+01
7             	-2.445379e+01	-5.162235e+01	-4.477052e+00	-2.669232e+01	2.221526e+01
8             	-1.875977e+01	-4.669056e+01	-9.448374e+00	-2.348395e+01	1.403558e+01
9             	-1.112874e+01	-3.504333e+01	-1.400081e+01	-1.812915e+01	4.128335e+00
10            	-4.509937e+00	-2.249686e+01	-1.661144e+01	-1.281566e+01	-3.795783e+00
11            	-4.067812e-01	-1.289059e+01	-1.677708e+01	-8.795320e+00	-7.981758e+00
12            	9.987258e-01	-7.603057e+00	-1.451714e+01	-6.259845e+00	-8.257296e+00
13            	4.617196e-01	-6.038662e+00	-1.065040e+01	-4.863481e+00	-5.786921e+00
14            	-9.160324e-01	-6.478925e+00	-6.110008e+00	-3.971036e+00	-2.138972e+00
15            	-2.122085e+00	-7.248777e+00	-1.804120e+00	-3.024145e+00	1.220025e+00
16            	-2.764187e+00	-7.791491e+00	1.417146e+00	-2.055614e+00	3.472760e+00
17            	-2.942170e+00	-8.228463e+00	3.327461e+00	-1.278440e+00	4.605901e+00
18            	-2.944605e+00	-8.955258e+00	4.024858e+00	-9.321765e-01	4.957034e+00
19            	-3.049551e+00	-1.012247e+01	4.027172e+00	-1.035965e+00	5.063137e+00
20            	-3.343739e+00	-1.160327e+01	3.869176e+00	-1.409151e+00	5.278327e+00
21            	-3.752166e+00	-1.299582e+01	3.965020e+00	-1.769656e+00	5.734676e+00
22            	-4.141455e+00	-1.407135e+01	4.357927e+00	-1.962491e+00	6.320418e+00
23            	-4.388115e+00	-1.469147e+01	4.872596e+00	-1.951817e+00	6.824413e+00
24            	-4.485750e+00	-1.495358e+01	5.446064e+00	-1.762718e+00	7.208781e+00
25            	-4.450178e+00	-1.504218e+01	5.756977e+00	-1.571690e+00	7.328667e+00
26            	-4.322238e+00	-1.509132e+01	5.601554e+00	-1.521461e+00	7.123015e+00
27            	-4.158629e+00	-1.513047e+01	5.052257e+00	-1.632500e+00	6.684757e+00
28            	-3.972251e+00	-1.505026e+01	4.265281e+00	-1.839610e+00	6.104891e+00
29            	-3.749400e+00	-1.470724e+01	3.477577e+00	-2.010611e+00	5.488189e+00
30            	-3.471112e+00	-1.400210e+01	2.851065e+00	-2.045579e+00	4.896645e+00
31            	-3.176676e+00	-1.306086e+01	2.496226e+00	-1.928563e+00	4.424788e+00
32            	-2.887041e+00	-1.197754e+01	2.424459e+00	-1.674812e+00	4.099271e+00
33            	-2.615080e+00	-1.084243e+01	2.571561e+00	-1.329300e+00	3.900861e+00
34            	-2.353110e+00	-9.700776e+00	2.780929e+00	-9.626451e-01	3.743574e+00
35            	-2.090979e+00	-8.565727e+00	2.933991e+00	-6.239838e-01	3.557975e+00
36            	-1.837595e+00	-7.482009e+00	2.996797e+00	-3.391962e-01	3.335993e+00
37            	-1.581135e+00	-6.430596e+00	2.940567e+00	-1.108515e-01	3.051418e+00
38            	-1.319470e+00	-5.408221e+00	2.765434e+00	6.324726e-02	2.702187e+00
39            	-1.064321e+00	-4.448989e+00	2.470377e+00	1.708673e-01	2.299510e+00
40            	-8.332878e-01	-3.591914e+00	2.090791e+00	2.121077e-01	1.878683e+00
41            	-6.296767e-01	-2.833602e+00	1.653287e+00	1.969670e-01	1.456320e+00
42            	-4.713100e-01	-2.205348e+00	1.220911e+00	1.391452e-01	1.081765e+00
43            	-3.727143e-01	-1.729929e+00	8.499177e-01	5.224457e-02	7.976731e-01
44            	-3.438198e-01	-1.420898e+00	5.795056e-01	-5.406702e-02	6.335726e-01
45            	-3.750745e-01	-1.255027e+00	4.114882e-01	-1.693304e-01	5.808186e-01
46            	-4.403139e-01	-1.190060e+00	3.055443e-01	-2.875418e-01	5.930861e-01
47            	-5.089606e-01	-1.170524e+00	2.137068e-01	-4.021073e-01	6.158140e-01
48            	-5.479160e-01	-1.133741e+00	9.155349e-02	-5.021392e-01	5.936927e-01
49            	-5.561017e-01	-1.080875e+00	-5.845251e-02	-5.853279e-01	5.268754e-01
50            	-5.415806e-01	-1.024336e+00	-2.167838e-01	-6.499725e-01	4.331887e-01
51            	-5.137559e-01	-9.766785e-01	-3.602173e-01	-6.938645e-01	3.336473e-01
52            	-4.829031e-01	-9.453416e-01	-4.628021e-01	-7.143041e-01	2.515020e-01
53            	-4.565507e-01	-9.387007e-01	-5.194541e-01	-7.162778e-01	1.968237e-01
54            	-4.324434e-01	-9.441601e-01	-5.410435e-01	-7.029651e-01	1.619216e-01
55            	-4.046951e-01	-9.459965e-01	-5.429880e-01	-6.761890e-01	1.332011e-01
56            	-3.694279e-01	-9.329239e-01	-5.347406e-01	-6.367983e-01	1.020576e-01
57            	-3.241473e-01	-8.958164e-01	-5.224413e-01	-5.853680e-01	6.292671e-02
58            	-2.692658e-01	-8.346584e-01	-5.090295e-01	-5.237805e-01	1.475101e-02
59            	-2.063581e-01	-7.533644e-01	-4.902520e-01	-4.514841e-01	-3.876791e-02
60            	-1.391502e-01	-6.595629e-01	-4.670278e-01	-3.726641e-01	-9.436366e-02
61            	-7.421812e-02	-5.657094e-01	-4.408754e-01	-2.946558e-01	-1.462196e-01
62            	-1.649447e-02	-4.789113e-01	-4.112851e-01	-2.221370e-01	-1.891481e-01
63            	3.231283e-02	-4.003847e-01	-3.810621e-01	-1.582182e-01	-2.228439e-01
64            	7.245176e-02	-3.275257e-01	-3.512376e-01	-1.031670e-01	-2.480706e-01
65            	1.050568e-01	-2.575845e-01	-3.230523e-01	-5.646932e-02	-2.665829e-01
66            	1.307989e-01	-1.926532e-01	-2.967863e-01	-1.759427e-02	-2.791921e-01
67            	1.506863e-01	-1.345379e-01	-2.722565e-01	1.455807e-02	-2.868146e-01
68            	1.655002e-01	-8.516110e-02	-2.498276e-01	4.058633e-02	-2.904140e-01
69            	1.762318e-01	-4.569812e-02	-2.283389e-01	6.206235e-02	-2.904013e-01
70            	1.833086e-01	-1.634924e-02	-2.071718e-01	7.972274e-02	-2.868945e-01
71            	1.876709e-01	3.770915e-03	-1.855087e-01	9.491656e-02	-2.804253e-01
72            	1.902042e-01	1.690078e-02	-1.645170e-01	1.079458e-01	-2.724627e-01
73            	1.912862e-01	2.668671e-02	-1.475177e-01	1.175273e-01	-2.650451e-01
74            	1.919757e-01	3.530515e-02	-1.354347e-01	1.242584e-01	-2.596931e-01
75            	1.923599e-01	4.391163e-02	-1.286018e-01	1.280590e-01	-2.566608e-01
76            	1.927017e-01	5.396880e-02	-1.251585e-01	1.301225e-01	-2.552810e-01
77            	1.929976e-01	6.636574e-02	-1.222514e-01	1.318719e-01	-2.541233e-01
78            	1.926272e-01	8.070988e-02	-1.163870e-01	1.344337e-01	-2.508207e-01
79            	1.916766e-01	9.725325e-02	-1.047331e-01	1.393100e-01	-2.440431e-01
80            	1.903614e-01	1.160038e-01	-8.576129e-02	1.474807e-01	-2.332420e-01
81            	1.885256e-01	1.359568e-01	-5.988776e-02	1.585818e-01	-2.184695e-01
82            	1.860510e-01	1.556052e-01	-2.941275e-02	1.713446e-01	-2.007573e-01
83            	1.828776e-01	1.743982e-01	2.707353e-03	1.842313e-01	-1.815239e-01
84            	1.791661e-01	1.922318e-01	3.420285e-02	1.962675e-01	-1.620647e-01
85            	1.751744e-01	2.091357e-01	6.327824e-02	2.068135e-01	-1.435353e-01
86            	1.715971e-01	2.260097e-01	8.866061e-02	2.159274e-01	-1.272668e-01
87            	1.689803e-01	2.438715e-01	1.098036e-01	2.238821e-01	-1.140785e-01
88            	1.671458e-01	2.623205e-01	1.269163e-01	2.306039e-01	-1.036876e-01
89            	1.658320e-01	2.804138e-01	1.414217e-01	2.365429e-01	-9.512119e-02
90            	1.646805e-01	2.970676e-01	1.544410e-01	2.419010e-01	-8.745998e-02
91            	1.633664e-01	3.113258e-01	1.667157e-01	2.467243e-01	-8.000859e-02
92            	1.615848e-01	3.226353e-01	1.782999e-01	2.507347e-01	-7.243479e-02
93            	1.591223e-01	3.309579e-01	1.886632e-01	2.534539e-01	-6.479073e-02
94            	1.558095e-01	3.363224e-01	1.972613e-01	2.544402e-01	-5.717884e-02
95            	1.515653e-01	3.383811e-01	2.029305e-01	2.530305e-01	-5.010005e-02
96            	1.464372e-01	3.368192e-01	2.045474e-01	2.487109e-01	-4.416357e-02
97            	1.402139e-01	3.312911e-01	2.018116e-01	2.411197e-01	-3.930815e-02
98            	1.325419e-01	3.213822e-01	1.951933e-01	2.301385e-01	-3.494527e-02
99            	1.232837e-01	3.069980e-01	1.856407e-01	2.161040e-01	-3.046329e-02
100           	1.130616e-01	2.895656e-01	1.739630e-01	2.000431e-01	-2.608009e-02
101           	1.030435e-01	2.718136e-01	1.611069e-01	1.835970e-01	-2.249011e-02
102           	9.417602e-02	2.559655e-01	1.487482e-01	1.685501e-01	-1.980191e-02
103           	8.715639e-02	2.436235e-01	1.385323e-01	1.564225e-01	-1.789024e-02
104           	8.288683e-02	2.365723e-01	1.320569e-01	1.489153e-01	-1.685836e-02
105           	8.132317e-02	2.344943e-01	1.305861e-01	1.466162e-01	-1.603010e-02
106           	8.249621e-02	2.371579e-01	1.339319e-01	1.494621e-01	-1.553028e-02
107           	8.439755e-02	2.397988e-01	1.411818e-01	1.549884e-01	-1.380666e-02
108           	8.685283e-02	2.425442e-01	1.492345e-01	1.614701e-01	-1.223557e-02
109           	8.913166e-02	2.448147e-01	1.556652e-01	1.669643e-01	-1.129906e-02
110           	9.123471e-02	2.470711e-01	1.575336e-01	1.700015e-01	-1.246790e-02
111           	9.313818e-02	2.496290e-01	1.543331e-01	1.703047e-01	-1.597164e-02
112           	9.513739e-02	2.530973e-01	1.467334e-01	1.685041e-01	-2.177070e-02
